source_id,reading_date,temperature_max,temperature_min,humidity_max,humidity_min,ambient_light_max,ambient_light_min,uvi_max,uvi_min,total_rainfall,soil_moisture_max,soil_moisture_min,soil_temperature_max,soil_temperature_min,soil_conductivity_max,soil_conductivity_min,soil_ph_max,soil_ph_min,leaf_temperature_max,leaf_temperature_min,leaf_humidity_max,leaf_humidity_min
7,"2026-02-01",29.26,9.35,91.07,40.86,41403.87,0.12,,,,,,,,,,,,,,,
7,"2026-02-02",29.38,8.08,92.39,42.45,43896,0.15,,,,,,,,,,3,3,,,,
7,"2026-02-03",30.53,7.78,93.62,40.58,53120.6,0.07,,,,25.5,25.5,16.6,16.6,2,2,3,3,,,,
7,"2026-02-04",30.22,7.42,89.72,41.02,49008.9,0.1,,,,,,,,,,3,3,,,,
7,"2026-02-05",30.18,7.75,90.98,38.52,46021.48,0.02,,,,26.36,25.27,19.88,13.45,24,8,5.38,2.26,,,,
7,"2026-02-06",29.31,6.29,93.93,42.34,42323.1,0,,,,27.27,25.08,19,12.13,76.17,17,5.58,2.28,,,,
7,"2026-02-07",31.7,6.37,96.64,39.98,46105.75,0.05,,,,27.2,24.95,19.6,11.87,86,33,5.6,3,,,,
7,"2026-02-08",29.2,10.05,99.04,47.64,33467.5,0,,,,26.6,25.2,19.1,14.44,72,42.8,5.3,3,,,,
7,"2026-02-09",29.43,10.07,92.69,41.6,40265.7,0,,,,27,25.18,19.98,13.77,88.5,42,5.5,3,,,,
7,"2026-02-10",30.51,9.38,90.81,39.8,48137.4,0,,,,25.9,25.05,19.7,13.7,72,45.83,5.4,2.65,,,,
7,"2026-02-11",28.43,8.46,83.99,39.3,36400,0,,,,26.1,25.2,19.33,12.9,81,41,5.42,3,,,,
7,"2026-02-12",31.95,7.05,83.87,34.6,45163.45,0,,,,25.4,22.85,19.15,12.22,54.2,0,5.5,3,,,,
7,"2026-02-13",32.61,6.92,88.75,36.98,46013.77,0,,,,24.45,22.87,19.62,12.52,1.33,0,5.5,3,,,,
7,"2026-02-14",29.6,8.99,95.09,45.62,32419.65,0,,,,23.37,22.5,18.62,13.38,0,0,5.6,5.48,,,,
7,"2026-02-15",32.32,8.54,95.95,42.8,40841.65,0,,,,23.97,22.45,19.23,13.33,0,0,5.6,3,,,,
7,"2026-02-16",30.83,8.43,93.98,43.89,39157.42,0,,,,23.53,22.7,19.22,13.25,0,0,5.5,5.05,,,,
7,"2026-02-17",30.66,10.02,96.04,47.93,36848.17,0,,,,24.15,22.3,19.7,13.83,23.17,0,5.5,4.6,,,,
7,"2026-02-18",31.25,8.65,96.58,44.96,39419.7,0,,,,23.48,22.08,20.02,13.6,27,0,5.4,3.35,,,,
7,"2026-02-19",33.27,6.85,91.21,38.58,48079.05,0,,,,23.7,22.27,19.33,12.95,7,0,5.3,3.72,,,,
7,"2026-02-20",28.35,9.35,95.9,49.86,29662.2,0,,,,23.57,22.62,18.98,13.3,10,0,5.2,3,,,,
7,"2026-02-21",26.84,10.51,95.21,55.72,23777.05,0,,,,23.4,22.6,18.2,13.95,8,0,5.3,3,,,,
7,"2026-02-22",30.75,10.99,97.28,49,37716.85,0,,,,23.47,22.93,19.05,14.02,15.67,4.67,5.3,3,,,,
7,"2026-02-23",24.86,11.64,97.01,59.6,18233.57,0,,,,23.36,23.08,16.87,14.18,19,10,5.38,3.75,,,,
7,"2026-02-24",11.57,11.57,92.72,92.72,0.02,0.02,,,,23.2,23.2,14.33,14.33,14.33,14.33,5.37,5.37,,,,
