source_id,reading_date,temperature_max,temperature_min,humidity_max,humidity_min,ambient_light_max,ambient_light_min,uvi_max,uvi_min,total_rainfall,soil_moisture_max,soil_moisture_min,soil_temperature_max,soil_temperature_min,soil_conductivity_max,soil_conductivity_min,soil_ph_max,soil_ph_min,leaf_temperature_max,leaf_temperature_min,leaf_humidity_max,leaf_humidity_min
4,"2026-02-01",33.1,13.34,85.17,40.39,38163.57,0.05,,,,32.1,27.7,21.42,19.18,70,51,6.9,6.72,,,,
4,"2026-02-02",33.38,12.5,91.31,39.54,49762.03,0,,,,32.72,27.8,21.47,18.6,68.83,49.67,6.92,6.78,,,,
4,"2026-02-03",35.67,11.57,86.75,29.17,52297.83,0.1,,,,32,27.8,21.8,18.45,62.67,46.5,6.92,6.8,,,,
4,"2026-02-04",36.62,11.54,83.2,29.42,52539.22,0.05,,,,31.72,27.7,22.4,18.6,67.33,45,6.92,6.7,,,,
4,"2026-02-05",36.3,14.07,83.22,25.8,50771.55,0.07,,,,32.43,27.7,22.78,19.57,71.17,52.5,6.93,6.8,,,,
4,"2026-02-06",34.63,13.29,90.7,37.59,52922.15,0.15,,,,33.5,27.7,22.35,19.5,69.33,50,6.93,6.8,,,,
4,"2026-02-07",32.11,12.88,90.51,37.29,41803.15,0.15,,,,34.38,27.8,21.38,18.7,64.67,47,6.92,6.8,,,,
4,"2026-02-08",32.4,13.2,92.74,39.24,39040.9,0.15,,,,37.35,27.9,21.4,18.6,64.33,44,6.88,6.3,,,,
4,"2026-02-09",34.87,14.4,100,41.9,50696.45,0.15,,,,35.2,27.95,21.8,18.9,75.83,42.17,6.48,6.3,,,,
4,"2026-02-10",33.47,11.62,100,38.12,58096.5,0.15,,,,35.32,27.9,22.2,18.62,69.17,46,6.63,6.03,,,,
4,"2026-02-11",35.34,11.69,93.02,30.11,57796.55,0.07,,,,33.93,27.8,22.6,18.33,64,40.67,6.73,6.12,,,,
4,"2026-02-12",35.98,11.84,91.27,29.88,58459.5,0.07,,,,34.35,27.73,22.58,18.9,70.5,42.33,6.78,6.13,,,,
4,"2026-02-13",34.3,12.53,90.53,35.56,58810.68,0.12,,,,36.02,27.85,22.4,19.25,86.17,43.83,6.75,6.5,,,,
4,"2026-02-14",35.32,13.36,95.2,36.69,57643.95,0.15,,,,36.57,27.9,21.88,19.17,69.33,45.83,6.73,6.57,,,,
4,"2026-02-15",36.68,13.42,96.48,42.23,51518.05,0.15,,,,36.72,28,21.83,18.62,66.33,40.5,6.7,6.5,,,,
4,"2026-02-16",34.97,14.31,95.27,40.32,54752.5,0.15,,,,36.73,28.1,22.42,18.87,71.33,37.33,6.67,6.03,,,,
4,"2026-02-17",31.99,14.49,89.78,41.46,40375.42,0.15,,,,36.67,28.1,22.2,19.23,65.5,40.83,6.65,6.5,,,,
4,"2026-02-18",35.17,12.93,92.96,38.1,59824.23,0.15,,,,36.57,28.1,22,18.8,65,40.17,6.63,6.5,,,,
4,"2026-02-19",35.32,13.03,94.65,42.23,58971.38,0.15,,,,36.63,28.1,22.48,18.9,66.17,41.17,6.63,6.5,,,,
4,"2026-02-20",33.99,13.34,94.14,40.2,60629.12,0.15,,,,36.73,28.1,22.73,19.1,66.67,40.33,6.63,6.5,,,,
4,"2026-02-21",33.87,15.43,94.88,44.33,56576.2,0.15,,,,37.07,28.1,22.38,19.8,70.83,41.33,6.6,6.5,,,,
4,"2026-02-22",34.74,15.31,96.93,43.44,54616.02,0.15,,,,37.22,28.2,22.3,19.52,65.6,40.67,6.6,6.4,,,,
4,"2026-02-23",28.66,14.67,97.23,32.59,25315.9,0.15,,,,38.63,28.4,21.43,19.28,67.5,38,6.58,6.4,,,,
4,"2026-02-24",15.13,15.13,88.29,88.29,0.15,0.15,,,,28.53,28.53,20.87,20.87,41,41,6.43,6.43,,,,
