source_id,reading_date,temperature_max,temperature_min,humidity_max,humidity_min,ambient_light_max,ambient_light_min,uvi_max,uvi_min,total_rainfall,soil_moisture_max,soil_moisture_min,soil_temperature_max,soil_temperature_min,soil_conductivity_max,soil_conductivity_min,soil_ph_max,soil_ph_min,leaf_temperature_max,leaf_temperature_min,leaf_humidity_max,leaf_humidity_min
28,"2025-02-01",37.46,14.75,97.65,36.03,32870.5,0.15,,,,26.72,25,25.55,21.43,80.17,57,5.28,5,,,,
28,"2025-02-02",34.22,15.89,97.36,41.88,28794.78,0.15,,,,27.38,24.9,24.52,21.85,82,45,5.3,5,,,,
28,"2025-02-03",36.89,14.09,95.95,35.61,31872.67,0.15,,,,28.9,24.7,26,21.1,66,42.5,5.3,5.1,,,,
28,"2025-02-04",34.67,13.63,97.73,39.59,32380.38,0.15,,,,27.93,25.1,25.63,22.05,77,40.67,5.33,5.1,,,,
28,"2025-02-05",36.65,11.69,96.13,33.53,31237.03,0.15,,,,27.9,25.5,25.3,21.1,56.8,32,5.3,5.08,,,,
28,"2025-02-06",35.28,13.05,95.6,36.76,29956.78,0.15,,,,26.47,-1,24.03,-1,44,-1,5.3,-1,,,,
28,"2025-02-07",36.97,17.07,87.04,35.35,33107.53,0.15,,,,25.55,-1,25.32,-1,38.33,-1,5.4,-1,,,,
28,"2025-02-08",39,12.6,96.28,28.15,38501.23,0.15,,,,22.77,20.4,25.57,21.68,22,9.67,5.68,5.2,,,,
28,"2025-02-09",38.09,14.04,95.3,35.84,28115.85,0.15,,,,25.13,20.3,25.4,22.42,51.17,7.33,5.57,5,,,,
28,"2025-02-10",39.11,15.64,92.84,30.01,37158,0.15,,,,24.78,21.87,26.7,22.3,57.67,22.67,5.2,5.1,,,,
28,"2025-02-11",37.56,14.77,94.38,31.12,37840.75,0.15,,,,24.3,20.6,25.9,22.98,50.67,22.67,5.4,5.1,,,,
28,"2025-02-12",37.52,13.53,97.03,35.38,41003.9,0.15,,,,34.88,20.4,25.3,22.15,113.5,20,5.4,4.9,,,,
28,"2025-02-13",35.29,16.23,97.52,37.93,37988.78,0.15,,,,32.75,-1,24.5,-1,126.67,-1,5.2,-1,,,,
28,"2025-02-14",37.63,13.04,96.33,32.46,31725.22,0.15,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-15",39.55,14.18,94.3,28.34,37235.55,0.15,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-16",39.74,15.8,95.05,28.79,39252.15,0.15,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-17",37.06,-1,95.64,-1,38103.18,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-18",-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-19",-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-20",39.03,-1,80.01,-1,36775,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-21",37.7,11.02,91.8,19.93,38200.17,0.15,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-22",36.69,10.35,93.52,24.65,38109.95,0.15,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-23",38.43,11.21,91.35,27.02,38516.82,0.15,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
28,"2025-02-24",15.82,15.82,91.5,91.5,0.15,0.15,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
